Ticker,AMD,AMD,AMD,AMD,AMD,AMD,PLTR,PLTR,PLTR,PLTR,PLTR,PLTR,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-08,210.89999389648438,210.94000244140625,203.3300018310547,204.67999267578125,204.67999267578125,27505000,185.61500549316406,185.66000366210938,174.3699951171875,176.86000061035156,176.86000061035156,47304300,427.8900146484375,436.8900146484375,424.3699951171875,435.79998779296875,435.79998779296875,57041100,189.11000061035156,189.5500030517578,183.7100067138672,185.0399932861328,184.81459045410156,172457000,90.44999694824219,91.25,89.58000183105469,90.52999877929688,90.52999877929688,40068700
2026-01-09,205.72000122070312,207.3000030517578,203.07000732421875,203.1699981689453,203.1699981689453,24217300,177.02000427246094,178.72000122070312,174.75,177.49000549316406,177.49000549316406,31362900,435.95001220703125,449.04998779296875,430.3900146484375,445.010009765625,445.010009765625,67331500,185.0800018310547,186.33999633789062,183.6699981689453,184.86000061035156,184.63479614257812,131327500,90.02999877929688,90.05000305175781,88.31999969482422,89.45999908447266,89.45999908447266,55579500
2026-01-12,201.17999267578125,209.8800048828125,199.8000030517578,207.69000244140625,207.69000244140625,27287300,177.68499755859375,182.5,176.33999633789062,179.41000366210938,179.41000366210938,34954500,441.2300109863281,454.29998779296875,438.0,448.9599914550781,448.9599914550781,61649600,183.22000122070312,187.1199951171875,183.02000427246094,184.94000244140625,184.71470642089844,137968500,89.69000244140625,90.33999633789062,89.33000183105469,89.41000366210938,89.41000366210938,36290600
2026-01-13,215.10000610351562,223.11000061035156,214.97999572753906,220.97000122070312,220.97000122070312,56894900,178.875,181.10000610351562,176.13999938964844,178.9600067138672,178.9600067138672,27769400,450.20001220703125,451.80999755859375,443.95001220703125,447.20001220703125,447.20001220703125,53719200,185.0,188.11000061035156,183.39999389648438,185.80999755859375,185.58364868164062,160128900,89.44000244140625,91.1500015258789,89.06999969482422,90.31999969482422,90.31999969482422,45221100
2026-01-14,217.5399932861328,224.08999633789062,215.11000061035156,223.60000610351562,223.60000610351562,40466500,178.125,181.59800720214844,173.9499969482422,178.39999389648438,178.39999389648438,33651400,442.80999755859375,443.9100036621094,434.2200012207031,439.20001220703125,439.20001220703125,57259500,184.32000732421875,184.4600067138672,180.8000030517578,183.13999938964844,182.91688537597656,159586100,91.23999786376953,91.58000183105469,87.94999694824219,88.55000305175781,88.55000305175781,49737700
2026-01-15,227.89999389648438,238.35000610351562,227.22000122070312,227.9199981689453,227.9199981689453,55270200,178.7100067138672,180.60000610351562,176.52999877929688,177.07000732421875,177.07000732421875,31109200,441.1300048828125,445.3599853515625,437.6499938964844,438.57000732421875,438.57000732421875,49465800,186.5,189.6999969482422,186.3300018310547,187.0500030517578,186.8221435546875,206188600,89.0199966430664,89.88999938964844,87.81999969482422,88.05000305175781,88.05000305175781,36945100
2026-01-16,234.3000030517578,234.49000549316406,228.86000061035156,231.8300018310547,231.8300018310547,42545600,179.36000061035156,182.42999267578125,170.00999450683594,170.9600067138672,170.9600067138672,59483600,439.5,447.25,435.260009765625,437.5,437.5,60220600,189.0800018310547,190.44000244140625,186.0800018310547,186.22999572753906,186.0031280517578,187967200,88.33999633789062,88.51000213623047,87.77999877929688,88.0,88.0,48130500
2026-01-20,226.0800018310547,239.5,225.41000366210938,231.9199981689453,231.9199981689453,44327700,167.625,171.97000122070312,166.24000549316406,168.52999877929688,168.52999877929688,36708500,429.3599853515625,430.7300109863281,417.44000244140625,419.25,419.25,63187300,181.89999389648438,182.3800048828125,177.61000061035156,178.07000732421875,177.8530731201172,223345300,88.97000122070312,89.9000015258789,87.0199966430664,87.26000213623047,87.26000213623047,109729700
2026-01-21,235.99000549316406,252.89999389648438,235.77999877929688,249.8000030517578,249.8000030517578,62385600,168.40199279785156,169.49000549316406,161.11000061035156,165.3300018310547,165.3300018310547,47851200,421.6600036621094,438.20001220703125,419.6199951171875,431.44000244140625,431.44000244140625,68124000,179.0500030517578,185.3800048828125,178.39999389648438,183.32000732421875,183.09669494628906,200381000,82.5199966430664,86.0,81.93000030517578,85.36000061035156,85.36000061035156,127940700
2026-01-22,251.75,256.0799865722656,246.6300048828125,253.72999572753906,253.72999572753906,37945000,168.9250030517578,169.0,164.9499969482422,165.89999389648438,165.89999389648438,28499500,435.1600036621094,449.5,432.6300048828125,449.3599853515625,449.3599853515625,71546700,184.75,186.1699981689453,183.92999267578125,184.83999633789062,184.6148223876953,139636600,85.0199966430664,85.0999984741211,82.9800033569336,83.54000091552734,83.54000091552734,69113300
2026-01-23,261.17999267578125,266.9599914550781,256.25,259.67999267578125,259.67999267578125,47525900,167.27000427246094,172.0,166.3000030517578,169.60000610351562,169.60000610351562,30285700,447.42999267578125,452.42999267578125,444.0400085449219,449.05999755859375,449.05999755859375,56771400,187.5,189.60000610351562,186.82000732421875,187.6699981689453,187.44137573242188,142748100,83.43000030517578,86.30000305175781,83.27999877929688,86.12000274658203,86.12000274658203,64520400
2026-01-26,256.75,258.2900085449219,250.3000030517578,251.30999755859375,251.30999755859375,30672500,168.2100067138672,170.58999633789062,167.3249969482422,167.47000122070312,167.47000122070312,22777200,445.0,445.0400085449219,434.2799987792969,435.20001220703125,435.20001220703125,49397400,187.16000366210938,189.1199951171875,185.99000549316406,186.47000122070312,186.2428436279297,124799600,86.91999816894531,86.94000244140625,85.3499984741211,85.69999694824219,85.69999694824219,40941900
2026-01-27,252.16000366210938,255.5500030517578,247.9600067138672,252.02999877929688,252.02999877929688,25691600,167.47999572753906,169.44000244140625,164.69000244140625,165.6999969482422,165.6999969482422,26542300,437.4100036621094,437.5199890136719,430.69000244140625,430.8999938964844,430.8999938964844,37733100,187.24000549316406,190.0,185.6999969482422,188.52000427246094,188.29034423828125,143711600,85.27999877929688,85.5999984741211,83.87999725341797,85.58000183105469,85.58000183105469,37790800
2026-01-28,254.1300048828125,257.3999938964844,250.2100067138672,252.74000549316406,252.74000549316406,27061200,164.39999389648438,165.0449981689453,157.24000549316406,157.35000610351562,157.35000610351562,44822800,431.9100036621094,438.260009765625,430.1000061035156,431.4599914550781,431.4599914550781,54857400,191.27000427246094,192.35000610351562,189.83999633789062,191.52000427246094,191.2866973876953,148552700,85.62999725341797,86.47000122070312,84.30000305175781,84.63999938964844,84.63999938964844,37762600
2026-01-29,254.66000366210938,260.5299987792969,240.91000366210938,252.17999267578125,252.17999267578125,31685200,157.6300048828125,157.6300048828125,147.1199951171875,151.86000061035156,151.86000061035156,59846800,437.79998779296875,440.2300109863281,414.6199951171875,416.55999755859375,416.55999755859375,81686100,191.33999633789062,193.47999572753906,186.05999755859375,192.50999450683594,192.27548217773438,171764400,84.30999755859375,84.37999725341797,82.3499984741211,83.16000366210938,83.16000366210938,42278100
2026-01-30,236.92999267578125,245.24000549316406,234.5500030517578,236.72999572753906,236.72999572753906,40035700,150.0500030517578,151.0,145.13900756835938,146.58999633789062,146.58999633789062,47271000,425.3500061035156,439.8800048828125,422.70001220703125,430.4100036621094,430.4100036621094,82626100,191.2100067138672,194.49000549316406,189.47000122070312,191.1300048828125,190.8971710205078,179489500,83.0999984741211,84.05999755859375,82.77999877929688,83.48999786376953,83.48999786376953,45755000
2026-02-02,235.77000427246094,249.97000122070312,235.0,246.27000427246094,246.27000427246094,36308100,150.94000244140625,151.39999389648438,146.6540069580078,147.75999450683594,147.75999450683594,72811100,421.2900085449219,427.1499938964844,414.5,421.80999755859375,421.80999755859375,58739500,187.1999969482422,190.3000030517578,184.8800048828125,185.61000061035156,185.38389587402344,165794100,83.52999877929688,85.2699966430664,82.72000122070312,82.76000213623047,82.76000213623047,41445300
2026-02-03,251.5500030517578,252.64999389648438,237.0399932861328,242.11000061035156,242.11000061035156,53097100,165.0500030517578,165.0780029296875,153.1199951171875,157.8800048828125,157.8800048828125,113169200,424.2699890136719,428.55999755859375,413.69000244140625,421.9599914550781,421.9599914550781,56886500,186.24000549316406,186.27000427246094,176.22999572753906,180.33999633789062,180.12030029296875,204019600,82.2300033569336,82.44999694824219,79.62000274658203,79.94000244140625,79.94000244140625,49789000
2026-02-04,215.0,218.5800018310547,199.14999389648438,200.19000244140625,200.19000244140625,107173300,155.41000366210938,155.85000610351562,135.67999267578125,139.5399932861328,139.5399932861328,113199500,420.4599914550781,423.8999938964844,399.17999267578125,406.010009765625,406.010009765625,74606900,179.4600067138672,179.5800018310547,171.91000366210938,174.19000244140625,173.97779846191406,207014100,79.98999786376953,81.44000244140625,79.2300033569336,80.16000366210938,80.16000366210938,48963200
2026-02-05,201.86000061035156,204.0399932861328,190.72000122070312,192.5,192.5,62196400,136.82000732421875,137.97999572753906,128.32000732421875,130.00999450683594,130.00999450683594,93690800,397.0199890136719,402.1000061035156,387.5299987792969,397.2099914550781,397.2099914550781,72819800,174.92999267578125,176.82000732421875,171.02999877929688,171.8800048828125,171.6706085205078,206312900,81.48999786376953,83.30000305175781,80.54000091552734,80.87000274658203,80.87000274658203,54805700
2026-02-06,197.1300048828125,209.27000427246094,196.42999267578125,208.44000244140625,208.44000244140625,54504500,135.3300018310547,137.68699645996094,132.35000610351562,135.89999389648438,135.89999389648438,62661400,400.8699951171875,414.54998779296875,397.75,411.1099853515625,411.1099853515625,62677100,176.69000244140625,187.0,174.60000610351562,185.41000366210938,185.1841278076172,231346200,81.0199966430664,82.48999786376953,80.6500015258789,82.19999694824219,82.19999694824219,46154100
2026-02-09,206.89999389648438,217.60000610351562,204.14999389648438,216.0,216.0,38810800,136.5800018310547,145.8699951171875,134.7760009765625,142.91000366210938,142.91000366210938,58042500,409.9100036621094,421.25,407.2900085449219,417.32000732421875,417.32000732421875,54484300,184.25999450683594,193.66000366210938,183.9499969482422,190.0399932861328,189.80848693847656,196387400,82.18000030517578,82.20999908447266,79.87000274658203,81.47000122070312,81.47000122070312,42200200
2026-02-10,215.13999938964844,219.38999938964844,213.1300048828125,213.57000732421875,213.57000732421875,25326700,144.96499633789062,145.55999755859375,137.77000427246094,139.50999450683594,139.50999450683594,56061300,418.0799865722656,427.25,417.0,425.2099914550781,425.2099914550781,64450200,191.3800048828125,192.47999572753906,188.1199951171875,188.5399932861328,188.31031799316406,136764800,82.72000122070312,84.66000366210938,82.08999633789062,82.20999908447266,82.20999908447266,43595800
2026-02-11,217.8800048828125,219.64999389648438,209.2100067138672,213.5800018310547,213.5800018310547,33384700,139.02499389648438,139.25,132.9499969482422,135.67999267578125,135.67999267578125,52796100,427.9599914550781,436.3500061035156,420.0299987792969,428.2699890136719,428.2699890136719,57362000,192.4499969482422,193.25999450683594,188.77000427246094,190.0500030517578,189.8184814453125,144192700,81.95999908447266,82.4800033569336,79.44999694824219,79.62000274658203,79.62000274658203,40840300
2026-02-12,215.8300018310547,218.4600067138672,205.13999938964844,205.94000244140625,205.94000244140625,32181000,135.36000061035156,135.88999938964844,126.55999755859375,129.1300048828125,129.1300048828125,74090600,430.29998779296875,436.2300109863281,414.0,417.07000732421875,417.07000732421875,61933400,193.02999877929688,193.61000061035156,186.50999450683594,186.94000244140625,186.7122802734375,189932500,79.11000061035156,79.1500015258789,75.2300033569336,75.86000061035156,75.86000061035156,73516100
2026-02-13,204.02000427246094,210.0500030517578,203.8800048828125,207.32000732421875,207.32000732421875,26123900,127.9000015258789,133.55999755859375,126.23300170898438,131.41000366210938,131.41000366210938,49438100,414.30999755859375,424.05999755859375,410.8800048828125,417.44000244140625,417.44000244140625,51434100,187.47999572753906,187.5,181.58999633789062,182.80999755859375,182.58731079101562,161888000,76.13999938964844,77.18000030517578,75.52999877929688,76.87000274658203,76.87000274658203,42292100
2026-02-17,202.14999389648438,205.3000030517578,194.8300018310547,203.0800018310547,203.0800018310547,33712100,128.89500427246094,134.32000732421875,127.29000091552734,133.02000427246094,133.02000427246094,48407100,412.3599853515625,413.7200012207031,400.510009765625,410.6300048828125,410.6300048828125,59678800,181.75,187.14999389648438,179.17999267578125,184.97000122070312,184.7446746826172,162276900,76.91999816894531,77.87000274658203,75.30000305175781,77.0,77.0,35961500
